,user,country,rating
0,75642,43,3
1,61362,201,3
2,34446,63,4
3,12654,95,4
4,33979,88,2
5,38667,101,4
6,76292,125,5
7,59728,148,4
8,31505,123,2
9,10351,104,4
10,61491,1,2
11,2781,188,2
12,41142,54,3
13,17283,170,2
14,81893,162,3
15,476,121,3
16,28657,103,2
17,62113,130,4
18,29451,36,4
19,72610,91,4
20,55434,170,2
21,33109,96,1
22,79342,213,3
23,38754,119,3
24,76788,180,2
25,9250,115,3
26,13265,156,5
27,11644,213,1
28,41088,136,1
29,31335,77,2
30,34737,152,4
31,72321,104,2
32,28671,203,4
33,10251,202,4
34,36119,52,3
35,28836,70,1
36,27226,25,1
37,19202,44,3
38,13,34,3
39,576,71,4
40,58518,213,2
41,60438,48,3
42,66407,214,3
43,71038,179,4
44,13433,139,2
45,4098,63,2
46,30749,171,5
47,31572,82,4
48,69603,33,3
49,52078,104,2
50,73510,22,4
51,65564,26,3
52,58890,193,4
53,73702,108,3
54,9399,116,2
55,41983,124,2
56,38690,47,3
57,80069,81,2
58,13142,17,4
59,22872,77,4
60,33507,128,3
61,4201,66,4
62,27655,13,3
63,76896,123,3
64,36542,130,3
65,32748,183,5
66,39835,58,4
67,60947,79,3
68,11191,77,3
69,28534,134,4
70,39087,95,2
71,72692,45,2
72,82774,19,3
73,62215,204,5
74,81613,18,2
75,61906,52,4
76,47256,216,2
77,19273,81,3
78,70032,60,3
79,62896,86,5
80,24102,112,2
81,59988,12,2
82,1693,126,3
83,42413,212,2
84,41075,17,3
85,36880,95,4
86,10173,130,4
87,65502,67,3
88,18056,174,2
89,69261,93,2
90,41162,19,3
91,77013,139,3
92,16710,52,2
93,73726,166,2
94,21728,146,4
95,14968,119,3
96,68768,210,1
97,27933,97,5
98,22741,203,2
99,38035,161,4
100,29473,88,3
101,1757,88,2
102,18003,221,3
103,12194,202,4
104,17480,212,2
105,50840,66,2
106,64682,118,2
107,79728,148,3
108,81765,161,4
109,73758,162,3
110,33134,3,3
111,29958,48,3
112,72680,73,4
113,4157,216,2
114,22057,98,5
115,72222,47,4
116,81809,208,4
117,25185,212,2
118,19464,197,4
119,51192,187,3
120,46777,125,5
121,69246,211,4
122,80105,39,2
123,78212,221,5
124,17341,84,3
125,24633,12,2
126,50469,77,4
127,50624,167,3
128,70673,188,2
129,61950,157,3
130,23173,179,4
131,20668,141,2
132,25871,90,4
133,21810,109,3
134,53750,117,5
135,63896,18,3
136,3618,151,3
137,33899,5,3
138,57044,98,3
139,55087,85,2
140,62621,41,3
141,51340,184,4
142,51280,133,5
143,12748,180,4
144,38453,163,3
145,49188,179,2
146,45217,190,2
147,53758,81,2
148,12308,114,2
149,54521,145,4
150,49961,75,3
151,18475,153,4
152,1530,79,5
153,64691,208,3
154,1734,2,4
155,55093,133,3
156,44120,95,3
157,32039,96,2
158,46513,76,5
159,54768,100,2
160,13343,63,2
161,19210,216,3
162,41045,168,2
163,62806,185,2
164,16111,104,3
165,40602,202,3
166,54111,100,2
167,52907,209,4
168,13631,205,2
169,35088,45,2
170,62115,132,4
171,66944,118,3
172,22406,17,4
